品类,商品产地,商品名称,规格,箱规,批发价,市场零售价,保质期
食品,西班牙,"塞拉诺
风干火腿后腿切片
100克（15个月以上）",100g,100g*30,,98/包,365天
食品,西班牙,"塞拉诺
风干火腿后腿切片
珍藏级120克（24个月以上）",120g,120g*40,,128/包,365天
食品,西班牙,"
伊比利亚
风干火腿前腿法定谷物饲养切片100克（24个月以上）",100g,100g*30,,158/包,365天
食品,西班牙,"
伊比利亚
风干火腿后腿法定谷物饲养切片100克（36个月以上）
",100g,100g*30,,180/包,365天
食品,西班牙,"
伊比利亚
风干火腿前腿橡子饲养切片
100克（36个月以上）",100g,100g*30,,218/包,365天
食品,西班牙,"
伊比利亚
风干火腿后腿橡子饲养切片100克（48个月以上）",100g,100g*30,,298/包,365天
食品,西班牙,"
伊比利亚
风干火腿后腿
橡子饲养手工切片80克（48个月以上）",100g,100g*30,,288/包,365天
食品,西班牙,"
风干火腿后腿去骨
珍藏级（24个月以上）",4.5kg,9KG/箱（2只）,,699元/kg,
食品,西班牙,"
伊比利亚
风干火腿后腿
法定谷物饲养去骨(36个月以上）",2.5kg,5KG/箱（2只）,,960元/kg,
食品,西班牙,"
伊比利亚
风干火腿后腿
法定谷物饲养去骨(36个月以上）",4.5kg,9KG/箱（2只）,,1280元/kg,
食品,西班牙,"
伊比利亚
风干火腿前腿
橡子饲养去骨(36个月以上）",2.5kg,5KG/箱（2只）,,1600元/kg,
食品,西班牙,"
伊比利亚
风干火腿后腿
橡子饲养去骨(48个月以上）",4.5kg,9KG/箱（2只）,,2384元/kg,
酒类,法国,安德烈伯爵酒庄干红,750ml,750ml*6,,￥78.00,10年
酒类,法国,安德烈伯爵酒庄精选干红,750ml,750ml*6,,￥88.00,10年
酒类,法国,安德烈伯爵酒庄陈酿干红,750ml,750ml*6,,￥188.00,10年
酒类,法国,安德烈伯爵酒庄珍酿干红,750ml,750ml*6,,￥218.00,10年
酒类,法国,安德烈伯爵酒庄至尊干红葡萄酒,750ml,750ml*6,,￥588.00,10年
酒类,法国,安德烈皇家骑士兵团XO,700ml,750ml*6,,￥388.00,10年
酒类,法国,诺一古堡干红葡萄酒,750ml,750ml*6,,￥498.00,10年
酒类,法国,塔菲娜干红葡萄酒,750ml,750ml*6,,￥140.00,10年
酒类,法国,泊凡尼干红葡萄酒,750ml,750ml*6,,￥88.00,10年
酒类,法国,鹰王红葡萄酒（黑）,750ml,750ml*6,,￥298.00,10年
酒类,法国,鹰王红葡萄酒（红）,750ml,750ml*6,,￥138.00,10年
酒类,法国,德克拉克.巴斯特干红葡萄酒,750ml,750ml*6,,￥98.00,10年
酒类,法国,杜昂世家干红葡萄酒,750ml,750ml*6,,￥88.00,10年
酒类,法国,杜昂荣耀干红葡萄酒,750ml,750ml*6,,￥88.00,10年
酒类,法国,杜昂生命之树干红葡萄酒,750ml,750ml*6,,￥88.00,10年
酒类,法国,杜昂柯尼斯干红葡萄酒,750ml,750ml*6,,￥288.00,10年
酒类,法国,杜昂城堡干红葡萄酒,750ml,750ml*6,,￥298.00,10年
酒类,法国,玛歌力士干红葡萄酒,750ml,750ml*6,,￥112.00,10年
酒类,德国,丝黛之鹰.甜白葡萄酒,750ml,750ml*12,,￥138.00,10年
酒类,法国,菲思黛乐.金狮干红葡萄酒,750ml,750ml*6,,￥158.00,10年
酒类,法国,克洛萨特德伦.干红葡萄酒,750ml,750ml*6,,￥98.00,10年
酒类,法国,夏诺斯干红葡萄酒,750ml,750ml*6,,￥78.00,10年
酒类,法国,嘉瑞纳斗牛士干红葡萄酒,750ml,750ml*6,,￥78.00,10年
酒类,法国,星光源干红葡萄酒,750ml,750ml*6,,￥188.00,10年
酒类,法国,拉珀玫珂波尔多干红葡萄酒,750ml,750ml*6,,￥128.00,10年
酒类,法国,夏诺斯圣皮埃尔干红葡萄酒,750ml,750ml*6,,￥368.00,10年
酒类,加拿大,克莱姆维达尔.枫叶冰白葡萄酒,375ml,750ml*12,,￥368.00,10年
酒类,意大利,皇家贝尔纳白兰地,700ml,750ml*6,,￥488.00,10年
酒类,英国苏格兰,帕尔斯威士忌,700ml,750ml*6,,￥598.00,10年
酒类,意大利,BB威士忌（汤姆森）,700ml,750ml*6,,￥568.00,10年
酒类,丹麦,丹麦福瑞德瑞克斯德樱桃酒“女人酒,500ml,750ml*6,,￥600.00,20年
酒类,丹麦,丹麦第五庄园橡木酒“男人酒”,500ml,750ml*6,,￥800.00,20年
酒类,法国,高地城堡干红（法国）,500ml,750ml*12,,,20年
食品,丹麦,"雅各布森蜂蜜
（向日葵蜜）",450g,450g*6,60,98,18个月
食品,丹麦,"雅各布森蜂蜜
（丹麦蜂蜜）",450g,450g*6,60,98,18个月
食品,丹麦,"雅各布森蜂蜜
（椴树蜜）",450g,450g*6,60,98,18个月
食品,丹麦,"雅各布森蜂蜜
（橙花蜜）",450g,450g*6,60,98,18个月
食品,丹麦,博好辣椒烟熏鲱鱼片罐头,200g,200g*12,25,35,48个月
食品,丹麦,博好鳕鱼肝酱罐头,115g,115g*12,25,35,60个月
食品,丹麦,博好烟熏鱼片罐头,200g,200g*12,25,35,36个月
食品,丹麦,博好龙虾汤,400g,400g*6,25,35,36个月
食品,丹麦,博好龙虾肉酱,100g,100g*6,25,35,48个月
食品,丹麦,博好虾肉酱,100g,100g*6,25,35,48个月
食品,丹麦,博好银鳕鱼鱼子酱,200g,200g*12,25,35,36个月
食品,丹麦,博好油蒜浸熏贻贝,190g,190g*6,25,35,36个月
日化品,丹麦,蜂胶护肤霜Danasan,瓶/60ml,无,37.8,80,一年
日化品,丹麦,防晒霜Derma,瓶/75ml,无,46.2,96,18个月
日化品,丹麦,女士卸妆水Derma,瓶/190ML,无,32,68,开启后一年
日化品,丹麦,婴儿油Derma,瓶/145ML,无,20,40,开启后一年
日化品,丹麦,干细胞面部精华面霜GREENDOOR,瓶/60ML,无,95,179,开启后一年
日化品,丹麦,干细胞面部精华液GREENDOOR,瓶/50ml,无,95,179,开启后一年
日化品,丹麦,祛妊娠温和按摩油karmamejuMILD,瓶/200ml,无,40,80,二年
